date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
2012-04-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-05-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-06-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-07-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-08-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-09-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-10-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-11-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-12-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2013-01-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2013-02-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2013-03-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2013-04-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2013-05-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2013-07-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.5,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2013-08-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,31.2,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2014-07-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,41.33,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2014-08-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,41.2,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2014-09-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,41.2,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2014-10-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,41.2,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2014-11-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,41.3,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2014-12-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,41.2,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-01-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,40.8,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-02-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,40.8,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-03-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.83,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-04-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-05-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.4,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-06-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.37,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-07-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.4,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-08-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.4,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-09-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.4,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-10-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.4,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-11-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.4,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2015-12-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.4,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-01-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.4,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-02-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.03,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-03-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.03,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-04-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.18,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-05-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-06-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-07-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-08-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-09-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-10-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-11-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2016-12-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2017-01-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2017-02-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2017-03-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2017-04-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,39.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2008-01-15,Sweet potatoes - Retail,KG,cereals and tubers,24.92,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-02-15,Sweet potatoes - Retail,KG,cereals and tubers,28.37,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-03-15,Sweet potatoes - Retail,KG,cereals and tubers,25.25,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-04-15,Sweet potatoes - Retail,KG,cereals and tubers,26.57,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-05-15,Sweet potatoes - Retail,KG,cereals and tubers,27.18,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-06-15,Sweet potatoes - Retail,KG,cereals and tubers,25.33,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-07-15,Sweet potatoes - Retail,KG,cereals and tubers,28.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-08-15,Sweet potatoes - Retail,KG,cereals and tubers,27.27,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-09-15,Sweet potatoes - Retail,KG,cereals and tubers,30.5,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-10-15,Sweet potatoes - Retail,KG,cereals and tubers,32.67,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-11-15,Sweet potatoes - Retail,KG,cereals and tubers,32.09,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2008-12-15,Sweet potatoes - Retail,KG,cereals and tubers,37.6,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-01-15,Sweet potatoes - Retail,KG,cereals and tubers,35.23,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-02-15,Sweet potatoes - Retail,KG,cereals and tubers,36.83,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-03-15,Sweet potatoes - Retail,KG,cereals and tubers,35.7,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-04-15,Sweet potatoes - Retail,KG,cereals and tubers,31.45,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-05-15,Sweet potatoes - Retail,KG,cereals and tubers,27.67,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-06-15,Sweet potatoes - Retail,KG,cereals and tubers,32.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-07-15,Sweet potatoes - Retail,KG,cereals and tubers,32.77,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-08-15,Sweet potatoes - Retail,KG,cereals and tubers,32.45,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-09-15,Sweet potatoes - Retail,KG,cereals and tubers,29.45,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-10-15,Sweet potatoes - Retail,KG,cereals and tubers,32.62,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-11-15,Sweet potatoes - Retail,KG,cereals and tubers,38.27,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-12-15,Sweet potatoes - Retail,KG,cereals and tubers,30.3,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2012-01-15,Sweet potatoes - Retail,KG,cereals and tubers,50.83,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2012-02-15,Sweet potatoes - Retail,KG,cereals and tubers,49.92,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2012-03-15,Sweet potatoes - Retail,KG,cereals and tubers,47.08,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2012-05-15,Sweet potatoes - Retail,KG,cereals and tubers,43.43,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2012-06-15,Sweet potatoes - Retail,KG,cereals and tubers,41.85,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2012-07-15,Sweet potatoes - Retail,KG,cereals and tubers,42.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2012-08-15,Sweet potatoes - Retail,KG,cereals and tubers,47.21,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2012-09-15,Sweet potatoes - Retail,KG,cereals and tubers,42.58,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2012-10-15,Sweet potatoes - Retail,KG,cereals and tubers,42.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2012-11-15,Sweet potatoes - Retail,KG,cereals and tubers,39.83,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2013-01-15,Sweet potatoes - Retail,KG,cereals and tubers,41.14,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2013-02-15,Sweet potatoes - Retail,KG,cereals and tubers,41.42,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2013-03-15,Sweet potatoes - Retail,KG,cereals and tubers,41.83,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2013-04-15,Sweet potatoes - Retail,KG,cereals and tubers,41.23,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2013-07-15,Sweet potatoes - Retail,KG,cereals and tubers,46.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2014-07-15,Sweet potatoes - Retail,KG,cereals and tubers,41.33,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2014-09-15,Sweet potatoes - Retail,KG,cereals and tubers,45.77,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2014-10-15,Sweet potatoes - Retail,KG,cereals and tubers,45.54,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2014-11-15,Sweet potatoes - Retail,KG,cereals and tubers,42.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2014-12-15,Sweet potatoes - Retail,KG,cereals and tubers,39.1,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-01-15,Sweet potatoes - Retail,KG,cereals and tubers,53.5,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-02-15,Sweet potatoes - Retail,KG,cereals and tubers,48.58,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-03-15,Sweet potatoes - Retail,KG,cereals and tubers,50.31,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-04-15,Sweet potatoes - Retail,KG,cereals and tubers,47.58,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-05-15,Sweet potatoes - Retail,KG,cereals and tubers,46.25,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-06-15,Sweet potatoes - Retail,KG,cereals and tubers,54.17,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-07-15,Sweet potatoes - Retail,KG,cereals and tubers,54.17,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-08-15,Sweet potatoes - Retail,KG,cereals and tubers,63.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-09-15,Sweet potatoes - Retail,KG,cereals and tubers,66.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-10-15,Sweet potatoes - Retail,KG,cereals and tubers,56.83,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-11-15,Sweet potatoes - Retail,KG,cereals and tubers,60.17,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2015-12-15,Sweet potatoes - Retail,KG,cereals and tubers,72.55,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-01-15,Sweet potatoes - Retail,KG,cereals and tubers,68.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-02-15,Sweet potatoes - Retail,KG,cereals and tubers,67.5,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-03-15,Sweet potatoes - Retail,KG,cereals and tubers,58.83,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-04-15,Sweet potatoes - Retail,KG,cereals and tubers,55.69,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-05-15,Sweet potatoes - Retail,KG,cereals and tubers,56.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-06-15,Sweet potatoes - Retail,KG,cereals and tubers,56.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-07-15,Sweet potatoes - Retail,KG,cereals and tubers,64.15,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-08-15,Sweet potatoes - Retail,KG,cereals and tubers,68.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-09-15,Sweet potatoes - Retail,KG,cereals and tubers,68.15,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-10-15,Sweet potatoes - Retail,KG,cereals and tubers,66.5,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-11-15,Sweet potatoes - Retail,KG,cereals and tubers,68.62,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2016-12-15,Sweet potatoes - Retail,KG,cereals and tubers,68.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2017-01-15,Sweet potatoes - Retail,KG,cereals and tubers,61.08,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2017-02-15,Sweet potatoes - Retail,KG,cereals and tubers,57.92,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2017-03-15,Sweet potatoes - Retail,KG,cereals and tubers,50.93,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2017-04-15,Sweet potatoes - Retail,KG,cereals and tubers,46.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,87,15,5,1,168_87_15_5,
2009-01-15,Eggs - Retail,Unit,"meat, fish and eggs",4.51,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-02-15,Eggs - Retail,Unit,"meat, fish and eggs",4.52,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-03-15,Eggs - Retail,Unit,"meat, fish and eggs",4.54,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-04-15,Eggs - Retail,Unit,"meat, fish and eggs",4.86,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-05-15,Eggs - Retail,Unit,"meat, fish and eggs",4.86,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-06-15,Eggs - Retail,Unit,"meat, fish and eggs",4.85,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-07-15,Eggs - Retail,Unit,"meat, fish and eggs",4.95,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-08-15,Eggs - Retail,Unit,"meat, fish and eggs",4.93,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-09-15,Eggs - Retail,Unit,"meat, fish and eggs",4.96,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-10-15,Eggs - Retail,Unit,"meat, fish and eggs",4.96,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-11-15,Eggs - Retail,Unit,"meat, fish and eggs",4.96,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2009-12-15,Eggs - Retail,Unit,"meat, fish and eggs",4.96,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2010-01-15,Eggs - Retail,Unit,"meat, fish and eggs",4.96,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2010-02-15,Eggs - Retail,Unit,"meat, fish and eggs",4.95,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2010-03-15,Eggs - Retail,Unit,"meat, fish and eggs",4.96,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2010-04-15,Eggs - Retail,Unit,"meat, fish and eggs",4.93,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
2010-05-15,Eggs - Retail,Unit,"meat, fish and eggs",4.93,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,92,15,33,2,168_92_15_33,
